id_venta,id_pedido,fecha_registro_cliente,canal_venta,categoria_producto,producto,cantidad,precio_unitario,subtotal_linea,tipo_pedido,con_reservacion,id_mesa,ubicacion_mesa,tipo_mesa,fecha_reservacion,estado_reservacion,fecha_pedido,hora_pedido,estado_pedido,metodo_pago,estado_pago,subtotal_pedido,impuestos,total_pedido,tiempo_entrega_min,calificacion_servicio,tipo_cliente,origen_ecommerce,cliente_id_anon
730,1299,2025-01-28,página web,bebidas calientes,chocolate caliente,2,25.06,50.12,en el lugar,false,4.0,salón principal,grupal,nan,nan,2026-06-15,14:55:00,entregado,pago en línea,pagado,409.38,65.5,474.88,15.0,4.0,vip,True,4b227777d4dd
71,1028,2025-05-15,página web,bebidas calientes,infusión de manzanilla,2,44.95,89.9,en el lugar,true,6.0,barra,grupal,2025-12-01,no_show,04 de december de 2025,12:50:00,entregado,pago en línea,pagado,457.6,73.22,530.82,43.0,4.0,vip,True,52f11620e397
1458,1590,2025-03-02,página web,café frío,café helado,3,47.66,142.98,para llevar,false,,nan,nan,nan,nan,2025-12-16,16:05:00,listo,pago en línea,pagado,312.43,49.99,362.42,-15.0,,frecuente,True,d59eced1ded0
1879,1763,2026-03-07,página web,café caliente,latte,2,48.62,97.24,para llevar,false,,nan,nan,nan,nan,2026-04-03,09:15:00,cancelado,pago en línea,pendiente,401.33,64.21,465.54,15,,vip,True,36ebe205bcdf
3700,2481,2025-08-21,página web,café frío,cold brew,500,45.16,135.48,para llevar,false,,nan,nan,nan,nan,2026-02-14,16:40:00,entregado,nan,pagado,452.91,72.47,525.38,45.0,5.0,frecuente,True,043066daf210
1925,1779,2026-03-09,página web,bebidas frías,limonada,500,20.52,61.56,en el lugar,false,15.0,terraza,pareja,nan,nan,2026-08-16,15:40:00,en preparación,pago en línea,pagado,378.62,60.58,439.2,15,,vip,True,e7f6c011776e
3677,2473,2025-10-22,página web,bebidas calientes,chocolate caliente,1,38.02,38.02,en el lugar,no,11.0,nan,individual,nan,nan,2026-07-22,11:30:00,entregao,pago en línea,pagado,251.91,40.31,292.22,24.0,3.0,vip,True,fa2b7af0a811
1498,1607,2026-07-29,presencial (mostrador),alimentos,ensalada césar,3,-63.23,189.69,en el lugar,false,13.0,zona de estudio,grupal,nan,nan,2026-08-04,13:10:00,listo,tarjeta,pagado,335.79,53.73,389.52,45.0,,frecuente,False,96061e92f58e
2335,1941,2026-07-28,página web,alimentos,bagel con queso crema,1,86.13,86.13,para llevar,false,,nan,nan,nan,nan,04 de august de 2026,15:15:00,entregado,pago en línea,pagado,245.48,39.28,284.76,15,3.0,vip,True,a88a7902cb4e
3016,2212,2025-11-03,página web,café caliente,latte,2,30.52,61.04,para llevar,false,,nan,nan,nan,nan,2026-07-10,20:35:00,cancelado,pago en línea,pendiente,298.22,47.72,345.94,15,,vip,True,d48ff4b2f68a
2544,2024,2025-07-22,presencial (mostrador),café frío,frappuccino de caramelo,1,63.37,63.37,en el lugar,false,15.0,barra,pareja,nan,nan,2025-10-05,14:10:00,entregado,efectivo,pagado,414.91,66.39,481.3,41.0,5.0,vip,False,80c3cd40fa35
2346,1946,2025-04-10,presencial (mostrador),bebidas calientes,infusión de manzanilla,1,32.54,32.54,para llevar,false,,nan,nan,nan,nan,2026-03-14,14:10:00,listo,transferencia,pagado,139.58,22.33,161.91,30.0,,recurrente,False,314f04b30f62
2020,1815,2026-07-03,página web,bebidas frías,té helado,3,26.3,78.9,en el lugar,false,18.0,terraza,grupal,nan,nan,2026-07-10,11:00:00,entregado,pago en línea,pagado,215.56,34.49,250.05,27.0,3.0,frecuente,True,9ae2bdd7beed
411,1169,2025-07-19,presencial (mostrador),bebidas frías,refresco de cola,3,35.72,107.16,para llevar,false,,nan,nan,nan,nan,10-18-2025,12:40:00,entregado,tarjeta,pagado,503.37,80.54,583.91,18.0,4.0,frecuente,False,37834f2f2576
2549,2025,2025-06-06,presencial (mesero),bebidas frías,limonada,3,29.49,88.47,en el lugar,true,1.0,zona de estudio,grupal,2026-01-09,completada,2026-01-12,18:40:00,entregado,nan,pagado,288.86,46.22,335.08,28.0,10.0,frecuente,False,6c658ee83fb7
167,1066,2025-02-22,presencial (mostrador),repostería,muffin de arándano,3,-28.58,85.74,para llevar,false,,nan,nan,nan,nan,29/07/2025,18:30:00,entregado,tarjeta,pagado,307.39,49.18,356.57,32.0,,frecuente,False,b8aed072d294
15,1006,2026-05-24,presencial (mostrador),bebidas frías,jugo de naranja,1,21.7,21.7,para llevar,false,,nan,nan,nan,nan,2026-08-13,07:05:00,entregado,nan,pagado,71.96,11.51,83.47,11.0,5.0,frecuente,False,16badfc6202c
2670,2074,2026-04-06,presencial (mostrador),bebidas frías,jugo de naranja,3,22.94,68.82,en el lugar,false,12.0,zona de estudio,grupal,nan,nan,2026-07-28,11:40:00,entregado,efectivo,pagado,384.12,61.46,445.58,20.0,5.0,frecuente,False,eb3be230bbd2
2417,1974,2025-12-13,página web,bebidas frías,té helado,2,27.55,55.1,para llevar,false,,nan,nan,nan,nan,2026-07-15,15:15:00,entregado,pago en línea,pagado,288.06,46.09,334.15,14.0,5.0,recurrente,True,c17edaae86e4
2828,2136,2026-05-16,presencial (mesero),bebidas calientes,té verde,1,33.8,33.8,para llevar,false,,nan,nan,nan,nan,2026-06-06,20:50:00,entregado,tarjeta,pagado,33.8,5.41,39.21,13.0,6.0,frecuente,False,ff5a1ae012af
2689,2081,2025-03-17,presencial (mostrador),alimentos,sandwich club,1,76.12,76.12,en el lugar,true,17.0,salón principal,individual,2026-01-12,cancelada,2026-01-14,07:25:00,entregado,tarjeta,pagado,504.6,80.74,585.34,15,4.0,frecuente,False,7ed8f0f3b707
3277,2319,2025-03-25,presencial (mesero),café caliente,nan,2,,109.58,para llevar,false,,nan,nan,nan,nan,2026-08-10,15:40:00,en preparación,tarjeta,pagado,435.75,69.72,505.47,15,,frecuente,False,3f9807cb9ae9
1212,1493,2026-07-31,presencial (mostrador),bebidas frías,sin dato,2,38.93,77.86,en el lugar,false,2.0,zona de estudio,individual,nan,nan,2026-08-07,14:05:00,en preparación,transferencia,pagado,77.86,12.46,90.32,15,,vip,False,ff2ccb6ba423
2179,1880,2025-11-21,presencial mesero,café frío,sin dato,3,39.88,119.64,para llevar,false,,nan,nan,nan,nan,2026-08-08,11:25:00,entregao,efectivo,pagado,205.4,32.86,238.26,22.0,-2.0,frecuente,False,3346f2bbf6c3
2168,1876,2025-04-23,presencial (mostrador),café frío,frappuccino de caramelo,1,36.39,36.39,en el lugar,true,19.0,salón principal,individual,2026-05-13,completada,2026-05-14,16:40:00,entregado,tarjeta,pagado,269.73,43.16,312.89,19.0,5.0,vip,False,535fa30d7e25
2150,1868,2025-09-29,presencial (mesero),café frío,frappuccino de caramelo,3,-52.85,158.55,para llevar,false,,nan,nan,nan,nan,08 de february de 2026,14:50:00,entregado,efectivo,pagado,285.56,45.69,331.25,33.0,5.0,vip,False,41cfc0d1f2d1
2474,1996,2026-02-22,página web,bebidas calientes,té verde,1,,31.59,para llevar,false,,nan,nan,nan,nan,2026-05-03,17:15:00,entregado,pago en línea,pagado,231.06,36.97,268.03,20.0,1.0,frecuente,True,9f1f9dce319c
2317,1933,2026-05-05,página web,repostería,dona glaseada,999,,49.54,en el lugar,true,12.0,salón principal,individual,2026-06-16,completada,2026-06-18,15:05:00,entregado,tarjeta,pagado,137.48,22.0,159.48,37.0,5.0,vip,True,c75de23d89df
237,1095,2026-02-17,página web,alimentos,bagel con queso crema,1,81.62,81.62,para llevar,false,,nan,nan,nan,nan,2026-03-11,15:35:00,entregado,pago en línea,pagado,305.36,48.86,354.22,34.0,5.0,vip,True,284de502c984
299,1125,2025-08-01,página web,bebidas calientes,té chai,3,38.11,114.33,para llevar,false,,nan,nan,nan,nan,2026-07-02,18:50:00,listo,transferencia,pagado,482.25,77.16,559.41,29.0,,frecuente,True,14063697603e
3288,2325,2025-11-18,presencial (mesero),alimentos,ensalada césar,3,89.86,269.58,para llevar,false,,nan,nan,nan,nan,2026-04-10,16:25:00,entregado,efectivo,pagado,407.17,65.15,472.32,25.0,4.0,frecuente,False,8b940be7fb78
415,1172,2026-07-21,página web,alimentos,bagel con queso crema,2,70.89,141.78,para llevar,false,,nan,nan,nan,nan,01-aug-26,10:50:00,cancelado,pago en línea,reembolsado,315.68,50.51,366.19,15,,frecuente,True,1d28c120568c
3366,2357,2025-12-05,página web,alimentos,nan,2,49.07,98.14,para llevar,false,,nan,nan,nan,nan,2026-08-08,16:45:00,listo,tarjeta,pagado,98.14,15.7,113.84,9.0,,frecuente,True,3d914f9348c9
3725,2490,2026-07-01,página web,bebidas calientes,té chai,2,43.93,87.86,en el lugar,1,8.0,terraza,grupal,2026-07-14,completada,14-jul-26,07:05:00,en preparación,pago en línea,pagado,254.5,40.72,295.22,15,,vip,True,89aa1e580023
2476,1997,2026-06-16,página web,alimntos,ensalada césar,1,59.17,59.17,para llevar,false,,nan,nan,nan,nan,2026-07-19,19:50:00,entregado,pago en línea,pagado,325.98,52.16,378.14,9.0,5.0,vip,True,dac53c17c250
2723,2093,2026-04-30,presencial (mesero),bebidas calientes,té chai,1,41.46,41.46,en el lugar,false,7.0,terraza,pareja,nan,nan,2026-08-18,15:50:00,listo,tarjeta,pagado,233.93,37.43,271.36,28.0,,frecuente,False,6566230e3a3c
1107,1450,2026-06-26,página web,bebidas frías,jugo de naranja,3,21.99,65.97,en el lugar,n,3.0,terraza,individual,nan,nan,05/08/2026,11:55:00,entregado,pago en línea,pagado,375.39,60.06,435.45,38.0,5.0,vip,True,3ada92f28b4c
2979,2198,2025-11-18,página web,alimentos,ensalada césar,999,77.36,77.36,para llevar,no,,nan,nan,nan,nan,2026-06-03,17:35:00,entregado,nan,pagado,279.07,44.65,323.72,27.0,3.0,frecuente,True,1da51b8d8ff9
1729,1701,2025-08-20,presencial (mostrador),café caliente,espresso,3,,138.21,para llevar,false,,nan,nan,nan,nan,2025-09-08,11:55:00,entregado,efectivo,pagado,548.17,87.71,635.88,17.0,,frecuente,False,0e6523810856
1692,1687,2025-07-16,página web,café frío,café helado,3,,114.66,para llevar,false,,nan,nan,nan,nan,2026-03-21,08:05:00,entregado,pago en línea,pagado,210.78,33.72,244.5,22.0,5.0,frecuente,True,4fc82b26aecb
180,1071,2026-05-30,presencial (mostrador),bebidas caliente,infusión de manzanilla,2,40.78,81.56,para llevar,false,,nan,nan,nan,nan,2026-06-07,20:30:00,entregado,tarjeta,pagado,245.81,39.33,285.14,40.0,5.0,vip,False,5a39cadd1b00
3451,2389,2025-09-30,presencial (mostrador),alimentos,bagel con queso crema,1,47.75,47.75,para llevar,false,,nan,nan,nan,nan,2025-10-25,09:15:00,entregado,tarjeta,pagado,178.9,28.62,207.52,15,5.0,vip,False,f57e5cb1f453
1323,1535,2026-04-01,página web,bebidas frías,agua mineral,3,,90.99,en el lugar,false,1.0,zona de estudio,grupal,nan,nan,2026-04-25,20:40:00,listo,nan,pagado,190.98,30.56,221.54,11.0,,frecuente,True,f0bc318fb896
2398,1967,2026-02-19,página web,alimentos,sandwich club,2,91.31,182.62,en el lugar,true,17.0,terraza,grupal,2026-05-14,completada,2026-05-14,17:55:00,entregado,pago en línea,pagado,524.52,83.92,608.44,14.0,2.0,vip,True,0a5b046d07f6
1753,1709,2025-03-12,presencial (mostrador),café caliente,americano,2,53.77,107.54,en el lugar,true,11.0,barra,grupal,27-jun-26,pendiente,2026-06-29,17:30:00,listo,transferencia,pagado,176.88,28.3,205.18,10.0,,frecuente,False,a68b412c4282
1469,1593,2025-02-16,presencial mostrador,repostería,croissant,3,28.5,85.5,en el lugar,true,17.0,terraza,grupal,2025-09-05,completada,2025-09-07,18:55:00,entregado,transferencia,pagado,145.8,23.33,169.13,35.0,4.0,frecuente,False,138d9e809e38
2824,2134,2025-05-22,presencial (mesero),café frio,frappuccino de caramelo,2,58.38,116.76,en el lugar,true,19.0,barra,grupal,2026-06-03,completada,2026-06-03,08:40:00,entregado,efectivo,pagado,388.41,62.15,450.56,22.0,4.0,frecuente,False,b1556dea32e9
1211,1492,2026-08-03,página web,café frío,cold brew,3,51.41,154.23,para llevar,false,,nan,nan,nan,nan,2026-08-18,11:50:00,entregado,pago en línea,pagado,154.23,24.68,178.91,11.0,5.0,frecuente,True,83f814f7a92e
3129,2260,2026-05-12,página web,cafe caliente,nan,1,37.55,37.55,para llevar,false,,nan,nan,nan,nan,2026-07-10,18:40:00,entregado,pago en línea,pagado,37.55,6.01,43.56,14.0,5.0,frecuente,True,9bdb2af67992
1938,1783,2026-06-28,presencial (mesero),bebidas frías,limonada,1,37.37,37.37,para llevar,false,,nan,nan,nan,nan,03-jul-26,17:50:00,listo,transferencia,pagado,284.41,45.51,329.92,40.0,,frecuente,False,624b60c58c9d
197,1079,2026-03-10,página web,repostería,pay de queso,1,46.68,46.68,para llevar,false,,nan,nan,nan,nan,2026-04-25,12:55:00,entregado,pago en línea,pagado,294.94,47.19,342.13,32.0,5.0,frecuente,True,7f2253d7e228
1176,1479,2025-09-29,página web,repostería,muffin de arándano,1,45.9,45.9,en el lugar,true,2.0,barra,pareja,2025-12-10,cancelada,2025-12-11,18:15:00,entregado,pago en línea,pagado,45.9,7.34,53.24,28.0,4.0,vip,True,41cfc0d1f2d1
1745,1706,2026-02-04,página web,café frío,café helado,2,35.96,71.92,en el lugar,false,20.0,zona de estudio,individual,nan,nan,2026-06-09,08:20:00,entregado,pago en línea,pagado,233.1,37.3,270.4,27.0,2.0,frecuente,True,2ac878b0e218
2245,1905,2025-03-07,página web,alimento,sandwich club,999,60.69,60.69,en el lugar,true,2.0,zona de estudio,grupal,2025-08-03,completada,2025-08-06,07:50:00,listo,pago en línea,pagado,275.13,44.02,319.15,12.0,0.0,frecuente,True,766cb53c753b
472,1193,2025-03-04,página web,café caliente,café de olla,2,51.13,102.26,en el lugar,false,18.0,salón principal,individual,nan,nan,2026-01-29,18:35:00,entregado,pago en línea,pagado,229.17,36.67,265.84,15,4.0,vip,True,811786ad1ae7
3371,2360,2026-05-27,página web,bebidas calientes,chocolate caliente,3,41.86,125.58,para llevar,false,,nan,nan,nan,nan,2026-06-03,07:30:00,en preparación,pago en línea,pagado,453.89,72.62,526.51,15,,frecuente,True,9400f1b21cb5
3436,2384,2026-08-06,página web,bebidas calientes,té verde,1,33.97,33.97,para llevar,false,,nan,nan,nan,nan,2026-06-09,07:50:00,en preparación,pago en línea,pagado,120.89,19.34,140.23,15,,frecuente,True,d6d824abba4a
1591,1648,2026-03-17,página web,café frío,frappuccino de caramelo,2,59.11,118.22,en el lugar,true,2.0,zona de estudio,individual,2026-08-19,pendiente,2026-08-19,18:35:00,listo,pago en línea,pagado,255.17,40.83,296.0,18.0,,vip,True,f369cb89fc62
1412,1570,2026-06-17,presencial (mostrador),bebidas frías,agua mineral,1,39.03,39.03,para llevar,false,,nan,nan,nan,nan,2026-08-11,20:05:00,entregado,transferencia,pagado,346.13,55.38,401.51,43.0,5.0,frecuente,False,69f59c273b6e
51,1022,2025-06-19,presencial (mostrador),repostería,pay de queso,1,25.05,25.05,para llevar,false,,nan,nan,nan,nan,2025-07-21,08:35:00,entregado,efectivo,pagado,159.96,25.59,185.55,41.0,4.0,frecuente,False,2abaca4911e6
1515,1615,2025-04-28,pagina web,café  frío,frappé de café,2,49.93,99.86,en el lugar,true,20.0,terraza,grupal,2026-04-24,cancelada,2026-04-24,20:10:00,entregado,nan,pagado,293.31,46.93,340.24,15,6.0,frecuente,True,5f9c4ab08cac
512,1213,2025-08-08,presencial (mostrador),bebidas calientes,té verde,2,28.68,57.36,para llevar,false,,nan,nan,nan,nan,2026-06-09,10:15:00,entregado,tarjeta,pagado,116.12,18.58,134.7,18.0,4.0,frecuente,False,73475cb40a56
322,1136,2025-12-27,página web,bebidas calientes,té chai,3,26.9,80.7,para llevar,false,,nan,nan,nan,nan,2026-04-22,11:20:00,entregado,pago en línea,pagado,239.52,38.32,277.84,36.0,5.0,frecuente,True,ec2e990b934d
2722,2092,2025-07-12,página web,alimentos,sandwich club,2,68.8,137.6,para llevar,false,,nan,nan,nan,nan,2026-04-25,07:25:00,entregado,pago en línea,pagado,441.2,70.59,511.79,11.0,5.0,frecuente,True,bfa7634640c5
2010,1811,2025-07-23,presencial (mostrador),café frío,frappé de café,1,61.05,61.05,en el lugar,true,1.0,barra,grupal,2026-05-02,completada,2026-05-03,07:05:00,entregado,efectivo,pagado,274.1,43.86,317.96,15,4.0,frecuente,False,802b906a1859
3461,2393,2026-07-22,página web,café caliente,latte,1,39.77,39.77,en el lugar,false,18.0,zona de estudio,grupal,nan,nan,2026-07-25,18:30:00,entregado,pago en línea,pagado,39.77,6.36,46.13,26.0,5.0,frecuente,True,0b918943df09
2283,1918,2025-01-21,presencial (mostrador),bebidas frías,agua mineral,2,23.78,47.56,para llevar,false,,nan,nan,nan,nan,2026-01-20,15:55:00,entregado,transferencia,pagado,390.74,62.52,453.26,12.0,5.0,frecuente,False,2747b7c71856
924,1373,2025-02-14,presencial (mesero),café caliente,café de olla,3,49.38,148.14,para llevar,false,,nan,nan,nan,nan,2025-10-15,18:45:00,en preparación,efectivo,pagado,365.74,58.52,424.26,15,,vip,False,1e472b39b105
1695,1688,2025-06-16,presencial (mostrador),café frío,frappuccino de caramelo,1,48.1,48.1,para llevar,false,,nan,nan,nan,nan,2025-08-06,20:05:00,entregado,tarjeta,pagado,333.87,53.42,387.29,32.0,4.0,frecuente,False,349c41201b62
1160,1473,2026-01-25,página web,café frio,frappé de café,999,54.98,109.96,para llevar,false,,nan,nan,nan,nan,2026-08-02,11:55:00,entregado,nan,pagado,354.08,56.65,410.73,38.0,,frecuente,True,bb668ca95563
1063,1434,2025-10-04,presencial (mesero),alimentos,bagel con queso crema,3,83.27,249.81,para llevar,false,,nan,nan,nan,nan,2025-11-10,14:45:00,entregado,efectivo,pagado,336.55,53.85,390.4,41.0,5.0,frecuente,False,d6a403173361
1462,1591,2026-07-05,página web,repostería,brownie,2,40.4,80.8,en el lugar,true,11.0,terraza,grupal,2026-07-02,completada,2026-07-05,09:50:00,entregado,pago en línea,pagado,278.18,44.51,322.69,37.0,3.0,frecuente,True,da4ea2a5506f
2078,1837,2026-01-03,presencial (mostrador),bebidas calientes,chocolate caliente,3,32.37,97.11,en el lugar,true,14.0,zona de estudio,grupal,2026-05-15,no_show,2026-05-18,11:15:00,entregado,tarjeta,pagado,293.68,46.99,340.67,24.0,5.0,frecuente,False,2c624232cdd2
872,1353,2026-01-15,presencial(mostrador),bebidas frías,refresco de cola,1,-32.76,32.76,en el lugar,true,13.0,zona de estudio,pareja,2026-07-17,completada,2026-07-20,08:35:00,listo,transferencia,pagado,271.8,43.49,315.29,32.0,,frecuente,False,8527a891e224
1026,1419,2026-01-02,presencial (mesero),café frío,café helado,1,55.9,55.9,en el lugar,true,4.0,barra,individual,2026-08-15,completada,2026-08-18,19:40:00,en preparación,transferencia,pagado,55.9,8.94,64.84,15,,frecuente,False,f74efabef12e
3604,2447,2026-07-04,presencial (mesero),bebidas frias,té helado,3,30.92,92.76,para llevar,false,,nan,nan,nan,nan,2026-08-06,17:25:00,entregado,transferencia,pagado,443.72,71.0,514.72,39.0,4.0,vip,False,dfe62e836a0a
2313,1932,2026-03-15,web,alimentos,bagel con queso crema,3,58.4,175.2,en el lugar,true,15.0,barra,pareja,2026-07-21,nan,2026-07-22,17:25:00,entregado,pago en línea,pagado,306.27,49.0,355.27,33.0,5.0,vip,True,13671077b66a
3072,2233,2025-02-11,presencial (mesero),repostería,concha,3,43.7,131.1,en el lugar,true,3.0,zona de estudio,individual,2025-08-19,completada,2025-08-22,15:25:00,en preparación,tarjeta,pagado,339.28,54.28,393.56,15,,frecuente,False,922c7954216c
2269,1913,2025-10-07,presencial (mostrador),bebidas frías,jugo de naranja,2,36.81,73.62,para llevar,false,,nan,nan,nan,nan,2025-09-30,14:30:00,entregado,nan,pagado,266.57,42.65,309.22,27.0,5.0,vip,False,c837649cce43
2974,2195,2025-04-29,página web,bebidas calientes,infusión de manzanilla,2,44.48,88.96,para llevar,false,,nan,nan,nan,nan,2026-05-27,08:20:00,listo,pago en línea,pagado,330.24,52.84,383.08,29.0,,frecuente,True,835d5e831434
1024,1418,2025-11-29,página web,alimentos,bagel con queso crema,3,71.68,215.04,en el lugar,true,4.0,salón principal,grupal,2026-06-07,completada,2026-06-07,10:50:00,cancelado,efectivo,pendiente,477.65,76.42,554.07,15,,frecuente,True,4523540f1504
3735,2494,2025-07-31,presencial (mostrador),bebidas calientes,chocolate caliente,500,31.0,93.0,en el lugar,true,2.0,salón principal,individual,2025-09-15,completada,2025-09-16,11:25:00,entregado,transferencia,pagado,235.79,37.73,273.52,13.0,5.0,frecuente,False,28dae7c8bde2
2125,1856,2025-09-26,página web,cafe frio,cold brew,2,43.35,86.7,en el lugar,true,1.0,terraza,grupal,2025-11-29,completada,2025-11-29,07:45:00,entregado,tarjeta,pagado,306.65,49.06,355.71,41.0,5.0,vip,True,872261620421
2006,1810,2025-01-02,presencial (mostrador),café caliente,americano,2,50.59,101.18,para llevar,false,,sin dato,nan,nan,nan,2026-01-14,13:20:00,entregado,tarjeta,pagado,309.0,49.44,358.44,10.0,5.0,frecuente,False,580811fa9526
1675,1678,2026-04-10,presencial (mostrador),bebidas frías,refresco de cola,3,32.92,98.76,en el lugar,true,8.0,zona de estudio,pareja,22/05/2026,cancelada,2026-05-22,10:50:00,entregado,tarjeta,pagado,327.27,52.36,379.63,39.0,4.0,frecuente,False,73d3f1ba0625
212,1085,2025-10-18,presencial (mostrador),bebidas calientes,té verde,2,28.18,56.36,en el lugar,true,6.0,barra,pareja,2025-11-11,pendiente,2025-11-11,07:05:00,entregado,transferencia,pagado,104.27,16.68,120.95,18.0,5.0,vip,False,29db0c6782db
1587,1645,2025-06-11,página web,repostería,pay de queso,2,41.27,82.54,para llevar,false,,nan,nan,nan,nan,2025-12-11,18:35:00,entregado,pago en línea,pagado,155.1,24.82,179.92,33.0,2.0,frecuente,True,7688b6ef5255
1996,1805,2026-07-25,página web,bebidas frías,-,1,39.64,39.64,en el lugar,true,3.0,zona de estudio,individual,2026-08-15,completada,2026-08-18,15:05:00,entregado,pago en línea,pagado,39.64,6.34,45.98,32.0,,frecuente,True,1253e9373e78
2187,1883,2025-10-14,página web,bebidas caliente,chocolate caliente,1,-44.81,44.81,en el lugar,true,12.0,barra,grupal,2026-04-08,completada,2026-04-08,18:45:00,entregado,pago en línea,pagado,44.81,7.17,51.98,12.0,5.0,frecuente,True,d4ee9f58e586
1245,1504,2025-02-09,presencial (mostrador),café caliente,capuchino,3,44.39,133.17,en el lugar,true,11.0,zona de estudio,grupal,2025-05-28,completada,2025-05-31,08:40:00,entregado,tarjeta,pagado,251.43,40.23,291.66,26.0,4.0,frecuente,False,5316ca1c5ddc
502,1209,2025-10-12,página web,bebidas frias,agua mineral,3,36.24,108.72,para llevar,false,,nan,nan,nan,nan,2025-11-01,10:40:00,listo,nan,pagado,229.44,36.71,266.15,22.0,,frecuente,True,3fdba35f04dc
91,1035,2026-01-20,página web,cafe caliente,latte,3,31.62,94.86,para llevar,false,,nan,nan,nan,nan,2026-03-22,10:45:00,entregado,transferencia,pagado,280.81,44.93,325.74,26.0,5.0,frecuente,True,dbb1ded63bc7
3684,2475,2025-08-14,presencial (mostrador),café caliente,latte,1,32.95,32.95,en el lugar,true,13.0,terraza,pareja,2026-04-10,completada,2026-04-11,17:20:00,en preparación,efectivo,pagado,275.95,44.15,320.1,15,,frecuente,False,ef2d127de37b
762,1313,2025-09-14,presencial (mostrador),repostería,brownie,1,50.34,50.34,en el lugar,true,15.0,salón principal,individual,18-jan-26,completada,2026-01-21,12:20:00,entregado,transferencia,pagado,146.66,23.47,170.13,24.0,5.0,frecuente,False,4a8596a7790b
568,1237,2026-07-12,página web,café frío,frappé de café,3,39.12,117.36,para llevar,false,,nan,nan,nan,nan,2026-07-30,20:50:00,entregado,pago en línea,pagado,498.1,79.7,577.8,15,3.0,frecuente,True,8ae4c23b80d1
2016,1814,2026-08-06,página web,café caliente,espresso,1,29.55,29.55,para llevar,false,,sin dato,nan,nan,nan,2026-08-19,09:05:00,entregado,pago en línea,pagado,297.49,47.6,345.09,37.0,4.0,vip,True,734d0759cdb4
1704,1690,2026-03-30,página web,bebidas calientes,chocolate caliente,1,41.92,41.92,para llevar,false,,nan,nan,nan,nan,2026-06-26,12:30:00,entregado,pago en línea,pagado,252.03,40.32,292.35,18.0,5.0,frecuente,True,98010bd9270f
599,1248,2026-07-26,presencial (mesero),bebidas calientes,té chai,2,35.8,71.6,para llevar,false,,nan,nan,nan,nan,2026-08-19,14:00:00,entregado,efectivo,pagado,463.04,74.09,537.13,42.0,5.0,vip,False,a512db2741cd
